número de artículos,precio,sexo,día
22, 30.67,Hombre,miércoles
22, 33.69,Mujer,domingo
18, 43.94,Mujer,jueves
25, 76.62,Hombre,miércoles
20, 32.43,Hombre,sábado
28, 32.09,Hombre,domingo
30, 45.06,Hombre,sábado
25, 57.23,Hombre,sábado
19, 23.37,Hombre,sábado
19, 31.76,Hombre,sábado
23, 36.05,Mujer,jueves
24, 30.73,Hombre,jueves
22, 51.86,Mujer,sábado
18, 39.92,Mujer,sábado
22, 44.21,Hombre,jueves
16, 30.30,Hombre,jueves
20, 50.68,Hombre,miércoles
20, 61.64,Mujer,miércoles
26, 37.81,Mujer,sábado
22, 38.02,Mujer,miércoles
20, 55.00,Hombre,sábado
13, 18.49,Mujer,sábado
17, 30.68,Hombre,sábado
21, 50.67,Mujer,domingo
24, 26.11,Mujer,sábado
20, 39.26,Hombre,domingo
22, 30.63,Mujer,miércoles
26, 34.73,Hombre,domingo
25, 47.08,Hombre,miércoles
21, 56.99,Hombre,jueves
13, 32.06,Hombre,miércoles
21, 43.77,Mujer,sábado
9, 12.10,Mujer,sábado
23, 53.88,Mujer,domingo
16, 41.62,Mujer,lunes
27, 65.62,Hombre,sábado
32, 29.72,Mujer,sábado
31, 99.91,Mujer,sábado
14, 24.80,Hombre,domingo
29, 48.69,Mujer,sábado
22, 14.66,Hombre,jueves
17, 38.64,Hombre,sábado
27, 56.31,Mujer,sábado
20, 20.97,Mujer,sábado
19, 33.29,Hombre,sábado
21, 45.00,Mujer,martes
24, 44.28,Hombre,domingo
20, 44.03,Hombre,jueves
17, 30.47,Mujer,lunes
17, 49.82,Mujer,miércoles
32, 54.74,Hombre,jueves
22, 48.53,Hombre,jueves
26, 63.64,Hombre,sábado
9, 16.34,Mujer,sábado
25, 51.13,Hombre,jueves
6, 11.51,Mujer,jueves
23, 50.23,Hombre,sábado
22, 51.84,Hombre,domingo
32, 40.33,Hombre,sábado
22, 58.56,Hombre,jueves
23, 30.75,Mujer,domingo
25, 56.88,Hombre,lunes
26, 55.30,Hombre,lunes
15, 27.38,Mujer,domingo
24, 58.34,Mujer,domingo
23, 41.89,Mujer,sábado
24, 47.83,Mujer,jueves
21, 38.81,Mujer,jueves
18, 19.91,Mujer,sábado
22, 33.70,Mujer,jueves
31, 37.16,Hombre,sábado
20, 33.91,Mujer,jueves
18, 52.70,Mujer,sábado
20, 32.27,Mujer,sábado
18, 35.79,Hombre,sábado
19, 48.53,Hombre,miércoles
23, 52.84,Mujer,domingo
19, 30.11,Hombre,lunes
12, 24.69,Hombre,sábado
13, 16.82,Hombre,domingo
17, 37.44,Mujer,sábado
25, 55.61,Mujer,jueves
21, 44.83,Mujer,domingo
27, 61.00,Mujer,jueves
17, 33.59,Hombre,sábado
24, 59.55,Hombre,lunes
28, 81.43,Mujer,domingo
25, 61.42,Hombre,jueves
21, 70.29,Hombre,sábado
31, 25.02,Hombre,sábado
15, 33.86,Mujer,sábado
22, 63.07,Hombre,martes
23, 51.88,Hombre,sábado
19, 27.86,Hombre,sábado
19, 39.05,Hombre,jueves
23, 48.33,Mujer,jueves
15, 23.56,Mujer,jueves
25, 62.62,Hombre,domingo
15, 28.70,Hombre,domingo
19, 24.59,Mujer,jueves
28, 34.66,Mujer,miércoles
14, 29.03,Hombre,sábado
17, 49.89,Hombre,miércoles
18, 32.69,Hombre,sábado
25, 60.21,Mujer,sábado
13, 11.27,Mujer,sábado
26, 51.68,Mujer,sábado
18, 39.20,Mujer,domingo
22, 25.59,Mujer,jueves
18, 38.63,Hombre,sábado
21, 39.45,Mujer,jueves
22, 53.10,Mujer,jueves
16, 24.37,Mujer,sábado
24, 61.07,Mujer,miércoles
19, 35.28,Mujer,sábado
22, 53.86,Mujer,viernes
25, 54.83,Hombre,miércoles
23, 42.21,Hombre,jueves
21, 26.76,Hombre,lunes
20, 43.57,Hombre,miércoles
27, 45.81,Mujer,jueves
27, 66.68,Hombre,jueves
17, 24.81,Hombre,miércoles
26, 57.47,Hombre,sábado
21, 57.82,Mujer,domingo
14, 13.05,Hombre,jueves
25, 58.91,Hombre,lunes
18, 42.60,Mujer,jueves
26, 55.88,Mujer,martes
29, 51.22,Mujer,miércoles
18, 35.44,Hombre,miércoles
11, 16.47,Mujer,jueves
26, 64.18,Mujer,miércoles
11, 20.27,Mujer,sábado
